rt;key_press;correct;coherent_movement_direction;coherent_orientation;task_type;task_transition;congruency
630;f;TRUE;180;0;mov;switch;incongruent
789;j;TRUE;0;180;mov;repetition;incongruent
746;f;TRUE;180;180;or;switch;congruent
697;f;TRUE;180;180;mov;switch;congruent
1283;j;TRUE;0;180;mov;repetition;incongruent
687;f;TRUE;180;180;mov;repetition;congruent
1374;f;TRUE;0;180;or;switch;incongruent
782;j;TRUE;180;0;or;repetition;incongruent
644;f;TRUE;180;0;mov;switch;incongruent
1179;j;TRUE;0;0;or;switch;congruent
1110;j;TRUE;0;180;mov;switch;incongruent1166
1599;j;TRUE;0;0;or;switch;congruent
1312;f;TRUE;180;180;or;repetition;congruent
1194;f;TRUE;180;180;mov;switch;congruent
1123;j;TRUE;0;0;mov;repetition;congruent
832;f;TRUE;180;0;mov;repetition;incongruent
613;j;TRUE;0;0;mov;repetition;congruent
955;j;TRUE;180;0;or;switch;incongruent
850;f;TRUE;0;180;or;repetition;incongruent
852;f;TRUE;180;0;mov;switch;incongruent
707;f;TRUE;180;0;mov;repetition;incongruent
685;j;TRUE;0;180;mov;repetition;incongruent
1005;j;TRUE;180;0;or;switch;incongruent
819;j;TRUE;0;0;mov;switch;congruent
953;j;TRUE;0;0;or;switch;congruent
582;j;TRUE;0;0;mov;switch;congruent
983;j;TRUE;0;0;or;switch;congruent
834;j;TRUE;180;0;or;repetition;incongruent
827;j;TRUE;180;0;or;repetition;incongruent
1018;j;TRUE;0;0;or;repetition;congruent
515;j;TRUE;0;0;mov;switch;congruent
688;j;TRUE;180;0;or;switch;incongruent
822;j;FALSE;180;0;mov;switch;incongruent
-1;;FALSE;0;180;or;switch;incongruent
1267;f;FALSE;0;180;mov;switch;incongruent
845;j;TRUE;0;0;mov;repetition;congruent
754;j;TRUE;180;0;or;switch;incongruent
1469;j;TRUE;0;180;mov;switch;incongruent
1121;f;TRUE;180;180;mov;repetition;congruent
756;f;TRUE;180;180;mov;repetition;congruent
1109;f;TRUE;0;180;or;switch;incongruent
1427;j;TRUE;0;180;mov;switch;incongruent
966;j;TRUE;0;180;mov;repetition;incongruent
968;f;TRUE;180;0;mov;repetition;incongruent
1889;j;TRUE;0;180;mov;repetition;incongruent
813;f;TRUE;180;180;mov;repetition;congruent
745;f;TRUE;180;180;mov;repetition;congruent
1078;f;TRUE;180;180;or;switch;congruent
1208;f;TRUE;0;180;or;repetition;incongruent
1478;j;FALSE;180;180;mov;switch;congruent
1196;f;TRUE;180;0;mov;repetition;incongruent
1244;j;TRUE;0;180;mov;repetition;incongruent
856;j;TRUE;180;0;or;switch;incongruent
1014;f;TRUE;0;180;or;repetition;incongruent
882;f;TRUE;180;180;mov;switch;congruent
1126;f;TRUE;180;0;mov;repetition;incongruent
1235;f;TRUE;180;180;or;switch;congruent
1327;j;FALSE;0;180;or;repetition;incongruent
977;f;TRUE;180;180;mov;switch;congruent
871;j;TRUE;0;0;or;switch;congruent
926;j;FALSE;0;180;or;repetition;incongruent
1009;j;TRUE;0;0;or;repetition;congruent
980;j;TRUE;0;0;mov;switch;congruent
1192;j;TRUE;180;0;or;switch;incongruent
1258;f;TRUE;180;180;mov;switch;congruent
1195;f;TRUE;0;180;or;switch;incongruent
1874;f;FALSE;0;0;or;repetition;congruent
1263;j;TRUE;0;180;mov;switch;incongruent
1082;j;TRUE;0;0;mov;repetition;congruent
845;f;TRUE;180;180;mov;repetition;congruent
1760;j;TRUE;180;0;or;switch;incongruent
1378;j;TRUE;0;0;or;repetition;congruent
960;j;TRUE;180;0;or;repetition;incongruent
1113;f;TRUE;180;0;mov;switch;incongruent
1148;j;TRUE;180;0;or;switch;incongruent
873;j;TRUE;0;180;mov;switch;incongruent
1058;f;TRUE;180;0;mov;repetition;incongruent
1603;j;TRUE;0;0;or;switch;congruent
965;j;TRUE;0;180;mov;switch;incongruent
1017;f;TRUE;180;0;mov;repetition;incongruent
1118;j;TRUE;0;0;mov;repetition;congruent
1128;f;TRUE;0;180;or;switch;incongruent
1282;f;TRUE;180;0;mov;switch;incongruent
853;j;TRUE;0;0;mov;repetition;congruent
897;f;TRUE;180;180;mov;repetition;congruent
1112;j;TRUE;0;180;mov;repetition;incongruent
1386;f;TRUE;180;180;or;switch;congruent
1458;f;TRUE;180;180;or;repetition;congruent
862;j;TRUE;0;0;mov;switch;congruent
1040;f;TRUE;180;180;or;switch;congruent
1131;f;FALSE;0;0;or;repetition;congruent
1172;j;TRUE;180;0;or;repetition;incongruent
1314;f;TRUE;180;180;or;repetition;congruent
1092;f;TRUE;180;0;mov;switch;incongruent
1446;j;TRUE;0;0;or;switch;congruent
989;f;TRUE;180;180;or;repetition;congruent
1308;f;TRUE;180;180;or;repetition;congruent
1437;f;TRUE;180;180;or;repetition;congruent
1621;f;TRUE;0;180;or;repetition;incongruent
1365;f;TRUE;180;180;or;repetition;congruent
